Tahun;Bulan;Rute;Kode;Jenis Bangunan;Jumlah SR;Kategori Golongan;Konsumsi (M3)
2025;JANUARI;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;28
2025;JANUARI;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;33
2025;JANUARI;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;122
2025;FEBRUARI;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;10
2025;FEBRUARI;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;27
2025;FEBRUARI;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;100
2025;MARET;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;13
2025;MARET;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;27
2025;MARET;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;122
2025;APRIL;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;29
2025;APRIL;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;37
2025;APRIL;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;110
2025;MEI;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;18
2025;MEI;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;48
2025;MEI;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;140
2025;JUNI;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;28
2025;JUNI;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;23
2025;JUNI;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;114
2025;JULI;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;20
2025;JULI;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;25
2025;JULI;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;105
2025;AGUSTUS;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;16
2025;AGUSTUS;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;27
2025;AGUSTUS;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;127
2025;SEPTEMBER;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;8
2025;SEPTEMBER;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;34
2025;SEPTEMBER;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;87
2025;OKTOBER;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;20
2025;OKTOBER;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;15
2025;OKTOBER;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;132
2025;NOVEMBER;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;22
2025;NOVEMBER;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;10
2025;NOVEMBER;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;75
2025;DESEMBER;RUTE: A117;13;RUMAH IBADAH;1;Gol. I;28
2025;DESEMBER;RUTE: A117;21;RUMAH TANGGA A;4;Gol. II;40
2025;DESEMBER;RUTE: A117;24;RUMAH TANGGA B;9;Gol. II;170
